Study	filename
ACC	An_TCGA_ACC_External_capture_All_Pairs.aggregated.capture.tcga.uuid.curated.somatic.onco
ESCA	An_TCGA_ESCA_External_capture_All_Pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
KIRP	An_TCGA_KIRP_MultiCenterCalling_capture_All_Pairs.aggregated.capture.tcga.uuid.curated.somatic.onco
LIHC	An_TCGA_LIHC_External_capture_All_Pairs.aggregated.capture.tcga.uuid.curated.somatic.onco
LUAD	AN_TCGA_LUAD_PAIR_capture_freeze_FINAL_230.aggregated.capture.tcga.uuid.curated.somatic.onco
STAD	An_TCGA_STAD_External_capture_All_Pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
THCA	AN_TCGA_THCA_PAIR_Capture_ALLQC_14Aug2013_429.aggregated.capture.tcga.uuid.somatic.onco
UCS	AN_TCGA_UCS_PAIR_Capture_56.aggregated.capture.tcga.uuid.curated.somatic.onco
BLCA	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.onco
CESC	bcgsc.ca_CESC.IlluminaHiSeq_DNASeq.1.somatic.onco
CHOL	bcgsc.ca_CHOL.IlluminaHiSeq_DNASeq.1.somatic.onco
ESCA	bcgsc.ca_ESCA.IlluminaHiSeq_DNASeq.1.somatic.onco
HNSC	bcgsc.ca_HNSC.IlluminaHiSeq_DNASeq.1.somatic.onco
KICH	bcgsc.ca_KICH.IlluminaHiSeq_DNASeq.1.somatic.onco
LIHC	bcgsc.ca_LIHC.IlluminaHiSeq_DNASeq.1.somatic.onco
MESO	bcgsc.ca_MESO.IlluminaHiSeq_DNASeq.1.somatic.onco
PAAD	bcgsc.ca_PAAD.IlluminaHiSeq_DNASeq.1.somatic.onco
PCPG	bcgsc.ca_PCPG.IlluminaHiSeq_DNASeq.1.somatic.onco
SARC	bcgsc.ca_SARC.IlluminaHiSeq_DNASeq.1.somatic.onco
STAD	bcgsc.ca_STAD.IlluminaHiSeq_DNASeq.1.somatic.onco
TGCT	bcgsc.ca_TGCT.IlluminaHiSeq_DNASeq.1.somatic.onco
THCA	bcgsc.ca_THCA.IlluminaHiSeq_DNASeq.1.somatic.onco
THYM	bcgsc.ca_THYM.IlluminaHiSeq_DNASeq.1.somatic.onco
UCS	bcgsc.ca_UCS.IlluminaHiSeq_DNASeq.1.somatic.onco
UVM	bcgsc.ca_UVM.IlluminaHiSeq_DNASeq.1.somatic.onco
KICH	BCM-KICH-TCGA.broad_calls.aggregated.capture.tcga.uuid.somatic.onco
BLCA	BLCA-28-original.aggregated.tcga.somatic.onco
BLCA	BLCA130_somatic_updated.aggregated.capture.tcga.uuid.curated.somatic.onco
CHOL	CHOL_pairs.aggregated.capture.tcga.uuid.automated.somatic.onco
ACC	dup1.hgsc.bcm.edu_ACC.IlluminaGA_DNASeq.1.somatic.onco
KICH	dup1.hgsc.bcm.edu_KICH.IlluminaGA_DNASeq.1.somatic.onco
KIRP	dup1.hgsc.bcm.edu_KIRP.IlluminaGA_DNASeq.1.somatic.onco
LIHC	dup1.hgsc.bcm.edu_LIHC.IlluminaGA_DNASeq.1.somatic.onco
TGCT	dup1.hgsc.bcm.edu_TGCT.IlluminaGA_DNASeq.1.somatic.onco
