gene_name	array_data_file_names	composite_element_ref	protein_name
YWHAB	14-3-3_beta-R-V_GBL1115809.txt	14-3-3_beta-R-V	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL1115833.txt	14-3-3_epsilon-M-C	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL1115739.txt	14-3-3_zeta-R-V	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL1115268.txt	4E-BP1-R-V	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL1115269.txt	4E-BP1_pS65-R-V	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL1115270.txt	4E-BP1_pT37_T46-R-V	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-V_GBL1115271.txt	4E-BP1_pT70-R-V	4E-BP1_pT70
TP53BP1	53BP1-R-E_GBL1115753.txt	53BP1-R-E	53BP1
ARAF	A-Raf_pS299-R-C_GBL1115759.txt	A-Raf_pS299-R-C	A-Raf_pS299
ACACA ACACB	ACC_pS79-R-V_GBL1115272.txt	ACC_pS79-R-V	ACC_pS79
ACACA	ACC1-R-E_GBL1115273.txt	ACC1-R-E	ACC1
TUBA1B	Acetyl-a-Tubulin(Lys40)-R-C_GBL1115793.txt	Acetyl-a-Tubulin(Lys40)-R-C	Acetyl-a-Tubulin(Lys40)
ACVRL1	ACVRL1-R-C_GBL1115772.txt	ACVRL1-R-C	ACVRL1
ADAR	ADAR1-M-V_GBL1115855.txt	ADAR1-M-V	ADAR1
AKT1 AKT2 AKT3	Akt-R-V_GBL1115771.txt	Akt-R-V	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL1115671.txt	Akt_pS473-R-V	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL1115790.txt	Akt_pT308-R-V	Akt_pT308
CTNNB1	alpha-Catenin-M-V_GBL1115835.txt	alpha-Catenin-M-V	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL1115274.txt	AMPK_alpha-R-C	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL1115275.txt	AMPK_pT172-R-V	AMPK_pT172
ANXA1	Annexin_1-M-E_GBL1115847.txt	Annexin_1-M-E	Annexin_1
ANXA7	Annexin_VII-M-V_GBL1115841.txt	Annexin_VII-M-V	Annexin_VII
AR	AR-R-V_GBL1115808.txt	AR-R-V	AR
ARHI	ARHI-M-E_GBL1115848.txt	ARHI-M-E	ARHI
ASNS	ASNS-R-V_GBL1115803.txt	ASNS-R-V	ASNS
ATM	ATM-R-E_GBL1115276.txt	ATM-R-E	ATM
BRAF	B-Raf-M-C_GBL1115812.txt	B-Raf-M-C	B-Raf
BAD	Bad_pS112-R-V_GBL1115806.txt	Bad_pS112-R-V	Bad_pS112
BAK1	Bak-R-C_GBL1115278.txt	Bak-R-C	Bak
BAP1	Bap1-c-4-M-E_GBL1115846.txt	Bap1-c-4-M-E	Bap1-c-4
BAX	Bax-R-V_GBL1115279.txt	Bax-R-V	Bax
BCL2	Bcl-2-M-V_GBL1115811.txt	Bcl-2-M-V	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL1115281.txt	Bcl-xL-R-V	Bcl-xL
BECN1	Beclin-G-C_GBL1115804.txt	Beclin-G-C	Beclin
CTNNB2	beta-Catenin-R-V_GBL1115280.txt	beta-Catenin-R-V	beta-Catenin
BID	Bid-R-C_GBL1115656.txt	Bid-R-C	Bid
BCL2L11	Bim-R-V_GBL1115657.txt	Bim-R-V	Bim
JUN	c-Jun_pS73-R-V_GBL1115662.txt	c-Jun_pS73-R-V	c-Jun_pS73
KIT	c-Kit-R-V_GBL1115663.txt	c-Kit-R-V	c-Kit
MET	c-Met_pY1235-R-V_GBL1115720.txt	c-Met_pY1235-R-V	c-Met_pY1235
MYC	c-Myc-R-C_GBL1115788.txt	c-Myc-R-C	c-Myc
RAF1	C-Raf-R-V_GBL1115732.txt	C-Raf-R-V	C-Raf
RAF1	C-Raf_pS338-R-V_GBL1115665.txt	C-Raf_pS338-R-V	C-Raf_pS338
CASP7	Caspase-7_cleavedD198-R-C_GBL1115658.txt	Caspase-7_cleavedD198-R-C	Caspase-7_cleavedD198
CAV1	Caveolin-1-R-V_GBL1115659.txt	Caveolin-1-R-V	Caveolin-1
MS4A1	CD20-R-C_GBL1115660.txt	CD20-R-C	CD20
PECAM1	CD31-M-V_GBL1115813.txt	CD31-M-V	CD31
ITGA2	CD49b-M-V_GBL1115836.txt	CD49b-M-V	CD49b
CDC2	CDK1-R-V_GBL1115754.txt	CDK1-R-V	CDK1
CHEK1	Chk1-M-C_GBL1115853.txt	Chk1-M-C	Chk1
CHEK1	Chk1_pS345-R-C_GBL1115744.txt	Chk1_pS345-R-C	Chk1_pS345
CHEK2	Chk2-M-E_GBL1115814.txt	Chk2-M-E	Chk2
