gene_name	array_data_file_names	composite_element_ref	protein_name
YWHAB	14-3-3_beta-R-V_GBL1114584.txt	14-3-3_beta-R-V	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL1114668.txt	14-3-3_epsilon-M-C	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL1114585.txt	14-3-3_zeta-R-V	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL1114391.txt	4E-BP1-R-V	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL1114392.txt	4E-BP1_pS65-R-V	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL1114393.txt	4E-BP1_pT37_T46-R-V	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-V_GBL1114394.txt	4E-BP1_pT70-R-V	4E-BP1_pT70
TP53BP1	53BP1-R-E_GBL1114598.txt	53BP1-R-E	53BP1
ARAF	A-Raf_pS299-R-C_GBL1114522.txt	A-Raf_pS299-R-C	A-Raf_pS299
ACACA ACACB	ACC_pS79-R-V_GBL1114395.txt	ACC_pS79-R-V	ACC_pS79
ACACA	ACC1-R-E_GBL1114396.txt	ACC1-R-E	ACC1
TUBA1B	Acetyl-a-Tubulin(Lys40)-R-C_GBL1114634.txt	Acetyl-a-Tubulin(Lys40)-R-C	Acetyl-a-Tubulin(Lys40)
ACVRL1	ACVRL1-R-C_GBL1114613.txt	ACVRL1-R-C	ACVRL1
ADAR	ADAR1-M-V_GBL1114683.txt	ADAR1-M-V	ADAR1
AKT1 AKT2 AKT3	Akt-R-V_GBL1114612.txt	Akt-R-V	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL1114515.txt	Akt_pS473-R-V	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL1114631.txt	Akt_pT308-R-V	Akt_pT308
CTNNB1	alpha-Catenin-M-V_GBL1114670.txt	alpha-Catenin-M-V	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL1114397.txt	AMPK_alpha-R-C	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL1114465.txt	AMPK_pT172-R-V	AMPK_pT172
ANXA1	Annexin_1-M-E_GBL1114686.txt	Annexin_1-M-E	Annexin_1
ANXA7	Annexin_VII-M-V_GBL1114680.txt	Annexin_VII-M-V	Annexin_VII
AR	AR-R-V_GBL1114568.txt	AR-R-V	AR
ARHI	ARHI-M-E_GBL1114687.txt	ARHI-M-E	ARHI
ASNS	ASNS-R-V_GBL1114640.txt	ASNS-R-V	ASNS
ATM	ATM-R-E_GBL1114466.txt	ATM-R-E	ATM
BRAF	B-Raf-M-C_GBL1114647.txt	B-Raf-M-C	B-Raf
BAD	Bad_pS112-R-V_GBL1114467.txt	Bad_pS112-R-V	Bad_pS112
BAK1	Bak-R-C_GBL1114468.txt	Bak-R-C	Bak
BAP1	Bap1-c-4-M-V_GBL1114685.txt	Bap1-c-4-M-V	Bap1-c-4
BAX	Bax-R-V_GBL1114469.txt	Bax-R-V	Bax
BCL2	Bcl-2-M-V_GBL1114646.txt	Bcl-2-M-V	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL1114471.txt	Bcl-xL-R-V	Bcl-xL
BECN1	Beclin-G-C_GBL1114641.txt	Beclin-G-C	Beclin
CTNNB2	beta-Catenin-R-V_GBL1114470.txt	beta-Catenin-R-V	beta-Catenin
BID	Bid-R-C_GBL1114472.txt	Bid-R-C	Bid
BCL2L11	Bim-R-V_GBL1114473.txt	Bim-R-V	Bim
BRCA2	BRCA2-R-C_GBL1114570.txt	BRCA2-R-C	BRCA2
JUN	c-Jun_pS73-R-V_GBL1114398.txt	c-Jun_pS73-R-V	c-Jun_pS73
KIT	c-Kit-R-V_GBL1114645.txt	c-Kit-R-V	c-Kit
MET	c-Met_pY1235-R-V_GBL1114565.txt	c-Met_pY1235-R-V	c-Met_pY1235
MYC	c-Myc-R-C_GBL1114629.txt	c-Myc-R-C	c-Myc
RAF1	C-Raf-R-V_GBL1114577.txt	C-Raf-R-V	C-Raf
RAF1	C-Raf_pS338-R-V_GBL1114510.txt	C-Raf_pS338-R-V	C-Raf_pS338
CASP7	Caspase-7_cleavedD198-R-C_GBL1114474.txt	Caspase-7_cleavedD198-R-C	Caspase-7_cleavedD198
CAV1	Caveolin-1-R-V_GBL1114505.txt	Caveolin-1-R-V	Caveolin-1
MS4A1	CD20-R-C_GBL1114506.txt	CD20-R-C	CD20
PECAM1	CD31-M-V_GBL1114648.txt	CD31-M-V	CD31
ITGA2	CD49b-M-V_GBL1114671.txt	CD49b-M-V	CD49b
CDC2	CDK1-R-V_GBL1114599.txt	CDK1-R-V	CDK1
CHEK1	Chk1-M-C_GBL1114684.txt	Chk1-M-C	Chk1
CHEK1	Chk1_pS345-R-C_GBL1114590.txt	Chk1_pS345-R-C	Chk1_pS345
CHEK2	Chk2-M-E_GBL1114649.txt	Chk2-M-E	Chk2
CHEK2	Chk2_pT68-R-C_GBL1114507.txt	Chk2_pT68-R-C	Chk2_pT68
BIRC2	cIAP-R-V_GBL1114594.txt	cIAP-R-V	cIAP
CLDN7	Claudin-7-R-V_GBL1114582.txt	Claudin-7-R-V	Claudin-7
COL6A1	Collagen_VI-R-V_GBL1114509.txt	Collagen_VI-R-V	Collagen_VI
CCNB1	Cyclin_B1-R-V_GBL1114511.txt	Cyclin_B1-R-V	Cyclin_B1
CCND1	Cyclin_D1-R-V_GBL1114512.txt	Cyclin_D1-R-V	Cyclin_D1
CCNE1	Cyclin_E1-M-V_GBL1114650.txt	Cyclin_E1-M-V	Cyclin_E1
CCNE2	Cyclin_E2-R-C_GBL1114513.txt	Cyclin_E2-R-C	Cyclin_E2
PARK7	DJ-1-R-E_GBL1114588.txt	DJ-1-R-E	DJ-1
DVL3	Dvl3-R-V_GBL1114596.txt	Dvl3-R-V	Dvl3
CDH1	E-Cadherin-R-V_GBL1114614.txt	E-Cadherin-R-V	E-Cadherin
EEF2	eEF2-R-C_GBL1114604.txt	eEF2-R-C	eEF2
EEF2K	eEF2K-R-V_GBL1114605.txt	eEF2K-R-V	eEF2K
EGFR	EGFR-R-V_GBL1114616.txt	EGFR-R-V	EGFR
EGFR	EGFR_pY1068-R-C_GBL1114399.txt	EGFR_pY1068-R-C	EGFR_pY1068
EGFR	EGFR_pY1173-R-V_GBL1114514.txt	EGFR_pY1173-R-V	EGFR_pY1173
EIF4E	eIF4E-R-V_GBL1114564.txt	eIF4E-R-V	eIF4E
EIF4G1	eIF4G-R-C_GBL1114619.txt	eIF4G-R-C	eIF4G
ESR1	ER-alpha-R-V_GBL1114400.txt	ER-alpha-R-V	ER-alpha
ESR1	ER-alpha_pS118-R-V_GBL1114516.txt	ER-alpha_pS118-R-V	ER-alpha_pS118
