gene_name	array_data_file_names	composite_element_ref	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	protein_function_and_regulatory_pathways	protein_name
YWHAB	14-3-3_beta-R-V_GBL9016934.txt	14-3-3_beta-R-V	Validated	Rabbit	Santa Cruz	sc-628	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL9016851.txt	14-3-3_epsilon-M-C	Use with Caution	Mouse	Santa Cruz	sc-23957	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL9016645.txt	14-3-3_zeta-R-V	Validated	Rabbit	Santa Cruz	sc-1019	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL9016651.txt	4E-BP1-R-V	Validated	Rabbit	CST	9452	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL9016652.txt	4E-BP1_pS65-R-V	Validated	Rabbit	CST	9456	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL9016653.txt	4E-BP1_pT37_T46-R-V	Validated	Rabbit	CST	9459	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-C_GBL9016567.txt	4E-BP1_pT70-R-C	Use with Caution	Rabbit	CST	9455	Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway	4E-BP1_pT70
TP53BP1	53BP1-R-C_GBL9016765.txt	53BP1-R-C	Under Evaluation	Rabbit	CST	4937	Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling	53BP1
ACACA	ACC1-R-C_GBL9016656.txt	ACC1-R-C	Under Evaluation	Rabbit	Epitomics	1768-1	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	ACC1
ACACA ACACB	ACC_pS79-R-V_GBL9016655.txt	ACC_pS79-R-V	Validated	Rabbit	CST	3661	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	ACC_pS79
