gene_name	array_data_file_names	composite_element_ref	protein_name
YWHAB	14-3-3_beta-R-V_GBL11066140	14-3-3_beta-R-V	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL11066233	14-3-3_epsilon-M-C	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL11066141	14-3-3_zeta-R-V	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL11066045	4E-BP1-R-V	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL11066046	4E-BP1_pS65-R-V	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL11066047	4E-BP1_pT37_T46-R-V	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-V_GBL11066048	4E-BP1_pT70-R-V	4E-BP1_pT70
TP53BP1	53BP1-R-E_GBL11066155	53BP1-R-E	53BP1
ARAF	A-Raf_pS299-R-C_GBL11066162	A-Raf_pS299-R-C	A-Raf_pS299
ACACA ACACB	ACC_pS79-R-V_GBL11066049	ACC_pS79-R-V	ACC_pS79
ACACA	ACC1-R-E_GBL11066050	ACC1-R-E	ACC1
TUBA1B	Acetyl-a-Tubulin-Lys40-R-C_GBL11066205	Acetyl-a-Tubulin-Lys40-R-C	Acetyl-a-Tubulin-Lys40
ACVRL1	ACVRL1-R-C_GBL11066174	ACVRL1-R-C	ACVRL1
ADAR	ADAR1-M-V_GBL11066236	ADAR1-M-V	ADAR1
AKT1 AKT2 AKT3	Akt-R-V_GBL11066173	Akt-R-V	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL11066075	Akt_pS473-R-V	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL11066202	Akt_pT308-R-V	Akt_pT308
CTNNB1	alpha-Catenin-M-V_GBL11066255	alpha-Catenin-M-V	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL11066051	AMPK_alpha-R-C	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL11066052	AMPK_pT172-R-V	AMPK_pT172
ANXA1	Annexin-1-M-E_GBL11066239	Annexin-1-M-E	Annexin-1
ANXA7	Annexin_VII-M-V_GBL11066265	Annexin_VII-M-V	Annexin_VII
AR	AR-R-V_GBL11066124	AR-R-V	AR
ARHI	ARHI-M-E_GBL11066273	ARHI-M-E	ARHI
ASNS	ASNS-R-V_GBL11066243	ASNS-R-V	ASNS
ATM	ATM-R-E_GBL11066053	ATM-R-E	ATM
BRAF	B-Raf-M-C_GBL11066212	B-Raf-M-C	B-Raf
BAD	Bad_pS112-R-V_GBL11066054	Bad_pS112-R-V	Bad_pS112
BAK1	Bak-R-E_GBL11066055	Bak-R-E	Bak
BAP1	Bap1c-4-M-E_GBL11066238	Bap1c-4-M-E	Bap1c-4
BAX	Bax-R-V_GBL11066056	Bax-R-V	Bax
BCL2	Bcl-2-M-V_GBL11066211	Bcl-2-M-V	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL11066058	Bcl-xL-R-V	Bcl-xL
BECN1	Beclin-G-C_GBL11066241	Beclin-G-C	Beclin
CTNNB2	beta-Catenin-R-V_GBL11066057	beta-Catenin-R-V	beta-Catenin
BID	Bid-R-C_GBL11066059	Bid-R-C	Bid
BCL2L11	Bim-R-V_GBL11066060	Bim-R-V	Bim
BRCA2	BRCA2-R-C_GBL11066126	BRCA2-R-C	BRCA2
JUN	c-Jun_pS73-R-V_GBL11066066	c-Jun_pS73-R-V	c-Jun_pS73
KIT	c-Kit-R-V_GBL11066067	c-Kit-R-V	c-Kit
MET	c-Met_pY1235-R-V_GBL11066121	c-Met_pY1235-R-V	c-Met_pY1235
MYC	c-Myc-R-C_GBL11066248	c-Myc-R-C	c-Myc
RAF1	C-Raf-R-V_GBL11066133	C-Raf-R-V	C-Raf
RAF1	C-Raf_pS338-R-E_GBL11066069	C-Raf_pS338-R-E	C-Raf_pS338
CASP7	Caspase-7_cleavedD198-R-C_GBL11066061	Caspase-7_cleavedD198-R-C	Caspase-7_cleavedD198
CAV1	Caveolin-1-R-V_GBL11066062	Caveolin-1-R-V	Caveolin-1
MS4A1	CD20-R-C_GBL11066063	CD20-R-C	CD20
PECAM1	CD31-M-V_GBL11066250	CD31-M-V	CD31
ITGA2	CD49b-M-V_GBL11066252	CD49b-M-V	CD49b
CDC2	CDK1-R-V_GBL11066247	CDK1-R-V	CDK1
CHEK1	Chk1-M-C_GBL11066237	Chk1-M-C	Chk1
CHEK1	Chk1_pS345-R-C_GBL11066146	Chk1_pS345-R-C	Chk1_pS345
CHEK2	Chk2-M-E_GBL11066214	Chk2-M-E	Chk2
CHEK2	Chk2_pT68-R-E_GBL11066209	Chk2_pT68-R-E	Chk2_pT68
BIRC2	cIAP-R-V_GBL11066151	cIAP-R-V	cIAP
CLDN7	Claudin-7-R-V_GBL11066138	Claudin-7-R-V	Claudin-7
