gene_name	array_data_file_names	composite_element_ref	protein_name
YWHAB	14-3-3_beta-R-V_GBL9033600	14-3-3_beta-R-V	14-3-3_beta
YWHAE	14-3-3_epsilon-M-C_GBL9033736	14-3-3_epsilon-M-C	14-3-3_epsilon
YWHAZ	14-3-3_zeta-R-V_GBL9033601	14-3-3_zeta-R-V	14-3-3_zeta
EIF4EBP1	4E-BP1-R-V_GBL9033602	4E-BP1-R-V	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL9033604	4E-BP1_pS65-R-V	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL9033603	4E-BP1_pT37_T46-R-V	4E-BP1_pT37_T46
EIF4EBP1	4E-BP1_pT70-R-V_GBL9033807	4E-BP1_pT70-R-V	4E-BP1_pT70
TP53BP1	53BP1-R-E_GBL9033605	53BP1-R-E	53BP1
ACACA	ACC1-R-E_GBL9033607	ACC1-R-E	ACC1
ACACA ACACB	ACC_pS79-R-V_GBL9033606	ACC_pS79-R-V	ACC_pS79
TUBA1B	Acetyl-a-Tubulin-Lys40-R-C_GBL9033809	Acetyl-a-Tubulin-Lys40-R-C	Acetyl-a-Tubulin-Lys40
ACVRL1	ACVRL1-R-C_GBL9033608	ACVRL1-R-C	ACVRL1
ADAR	ADAR1-R-V_GBL9033804	ADAR1-R-V	ADAR1
AKT1 AKT2 AKT3	Akt-R-V_GBL9033609	Akt-R-V	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL9033610	Akt_pS473-R-V	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL9033611	Akt_pT308-R-V	Akt_pT308
CTNNA1	alpha-Catenin-M-V_GBL9033811	alpha-Catenin-M-V	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL9033612	AMPK_alpha-R-C	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL9033614	AMPK_pT172-R-V	AMPK_pT172
ANXA1	Annexin-1-M-E_GBL9033797	Annexin-1-M-E	Annexin-1
ANXA7	Annexin_VII-M-V_GBL9033737	Annexin_VII-M-V	Annexin_VII
AR	AR-R-V_GBL9033615	AR-R-V	AR
ARAF	A-Raf_pS299-R-C_GBL9033778	A-Raf_pS299-R-C	A-Raf_pS299
ASNS	ASNS-R-V_GBL9033789	ASNS-R-V	ASNS
ATM	ATM-R-E_GBL9033779	ATM-R-E	ATM
BAD	Bad_pS112-R-V_GBL9033775	Bad_pS112-R-V	Bad_pS112
BAK1	Bak-R-E_GBL9033776	Bak-R-E	Bak
BAP1	Bap1-c-4-M-E_GBL9033796	Bap1-c-4-M-E	Bap1-c-4
BAX	Bax-R-V_GBL9033618	Bax-R-V	Bax
BCL2	Bcl-2-M-V_GBL9033738	Bcl-2-M-V	Bcl-2
BCL2L1	Bcl-xL-R-V_GBL9033619	Bcl-xL-R-V	Bcl-xL
BECN1	Beclin-G-C_GBL9033773	Beclin-G-C	Beclin
CTNNB1	beta-Catenin-R-V_GBL9033626	beta-Catenin-R-V	beta-Catenin
BID	Bid-R-C_GBL9033620	Bid-R-C	Bid
BCL2L11	Bim-R-V_GBL9033621	Bim-R-V	Bim
BRAF	B-Raf-M-C_GBL9033761	B-Raf-M-C	B-Raf
BRCA2	BRCA2-R-C_GBL9033622	BRCA2-R-C	BRCA2
CASP7	Caspase-7_cleavedD198-R-C_GBL9033625	Caspase-7_cleavedD198-R-C	Caspase-7_cleavedD198
