gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
YWHAB	14-3-3_beta-R-V_GBL1112940.txt	14-3-3_beta-R-V	14-3-3_beta	0.9557842	Validated	Rabbit	Santa Cruz	sc-628	http://www.scbt.com/datasheet-628-14-3-3-beta-c-20-antibody.html
YWHAE	14-3-3_epsilon-M-C_GBL1112915.txt	14-3-3_epsilon-M-C	14-3-3_epsilon	0.9491414	Use with Caution	Mouse	Santa Cruz	sc-23957	http://www.scbt.com/datasheet-23957-14-3-3-epsilon-8c3-antibody.html
YWHAZ	14-3-3_zeta-R-V_GBL1112831.txt	14-3-3_zeta-R-V	14-3-3 zeta	0.9718176	Validated	Rabbit	Santa Cruz	sc-1019	http://www.scbt.com/datasheet-1019-14-3-3-zeta-c-16-antibody.html
EIF4EBP1	4E-BP1-R-V_GBL1112735.txt	4E-BP1-R-V	4E-BP1	0.9621048	Validated	Rabbit	CST	9452	http://www.cellsignal.com/products/9452.html
EIF4EBP1	4E-BP1_pS65-R-V_GBL1112736.txt	4E-BP1_pS65-R-V	4E-BP1_pS65	0.9547482	Validated	Rabbit	CST	9456	http://www.cellsignal.com/products/9456.html
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL1112737.txt	4E-BP1_pT37_T46-R-V	4E-BP1_pT37	0.948616	Validated	Rabbit	CST	9459	http://www.cellsignal.com/products/9459.html
EIF4EBP1	4E-BP1_pT70-R-V_GBL1112738.txt	4E-BP1_pT70-R-V	4E-BP1_pT70	0.96981	Use with Caution	Rabbit	CST	9455	http://www.cellsignal.com/products/9455.html
TP53BP1	53BP1-R-E_GBL1112847.txt	53BP1-R-E	53BP1	0.9720804	Under Evaluation	Rabbit	CST	4937	http://www.cellsignal.com/products/4937.html
ARAF	A-Raf_pS299-R-C_GBL1112958.txt	A-Raf_pS299-R-C	A-Raf_pS299	0.9420466	Use with Caution	Rabbit	CST	4431	http://www.cellsignal.com/products/4431.html
ACACA ACACB	ACC_pS79-R-V_GBL1112739.txt	ACC_pS79-R-V	ACC_pS79	0.9611742	Validated	Rabbit	CST	3661	http://www.cellsignal.com/products/3661.html
ACACA	ACC1-R-E_GBL1112740.txt	ACC1-R-E	ACC1	0.9569629	Under Evaluation	Rabbit	Epitomics	1768-1	http://www.epitomics.com/products/product_info/419/Acetyl-antibody-1768-1.html
TUBA1B	Acetyl-a-Tubulin-Lys40-R-C_GBL1112946.txt	Acetyl-a-Tubulin-Lys40-R-C	Acetyl-a-Tubulin-Lys40	0.962532	Under Evaluation	Rabbit	CST	5335	http://www.cellsignal.com/products/5335.html
ACVRL1	ACVRL1-R-C_GBL1112866.txt	ACVRL1-R-C	ACVRL1	0.9493932	Use with Caution	Rabbit	Abcam	ab108207	http://www.abcam.com/acvrl1-antibody-epr4074-ab108207.html
ADAR	ADAR1-M-V_GBL1112930.txt	ADAR1-M-V	ADAR1	0.9679019	Validated	Mouse	Abcam	ab88574	http://www.abcam.com/adar1-antibody-ab88574.html
AKT1 AKT2 AKT3	Akt-R-V_GBL1112865.txt	Akt-R-V	Akt	0.9639921	Validated	Rabbit	CST	4691	http://www.cellsignal.com/products/primary-antibodies/4691
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL1112764.txt	Akt_pS473-R-V	Akt_pS473	0.9709825	Validated	Rabbit	CST	9271	http://www.cellsignal.com/products/primary-antibodies/4691?hit=productId&amp;Ntt=4691
