gene_name	array_data_file_names	composite_element_ref	protein_name
YWHAE	14-3-3_epsilon-M-C_GBL9025015.txt	14-3-3_epsilon-M-C	14-3-3_epsilon
EIF4EBP1	4E-BP1-R-V_GBL9024810.txt	4E-BP1-R-V	4E-BP1
EIF4EBP1	4E-BP1_pS65-R-V_GBL9024811.txt	4E-BP1_pS65-R-V	4E-BP1_pS65
EIF4EBP1	4E-BP1_pT37-R-V_GBL9024978.txt	4E-BP1_pT37-R-V	4E-BP1_pT37
EIF4EBP1	4E-BP1_pT70-R-C_GBL9025061.txt	4E-BP1_pT70-R-C	4E-BP1_pT70
TP53BP1	53BP1-R-C_GBL9024812.txt	53BP1-R-C	53BP1
ACACA ACACB	ACC_pS79-R-V_GBL9024813.txt	ACC_pS79-R-V	ACC_pS79
ACACA	ACC1-R-C_GBL9024814.txt	ACC1-R-C	ACC1
NCOA3	AIB1-M-V_GBL9025057.txt	AIB1-M-V	AIB1
AKT1 AKT2 AKT3	Akt-R-V_GBL9024815.txt	Akt-R-V	Akt
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL9024816.txt	Akt_pS473-R-V	Akt_pS473
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL9024817.txt	Akt_pT308-R-V	Akt_pT308
CTNNA1	alpha-Catenin-M-V_GBL9024943.txt	alpha-Catenin-M-V	alpha-Catenin
PRKAA1	AMPK_alpha-R-C_GBL9024818.txt	AMPK_alpha-R-C	AMPK_alpha
PRKAA1	AMPK_pT172-R-V_GBL9024819.txt	AMPK_pT172-R-V	AMPK_pT172
ANXA1	Annexin_I-R-V_GBL9024820.txt	Annexin_I-R-V	Annexin_I
AR	AR-R-V_GBL9024821.txt	AR-R-V	AR
ARID1A	ARID1A-M-V_GBL9025030.txt	ARID1A-M-V	ARID1A
ASNS	ASNS-R-C_GBL9024990.txt	ASNS-R-C	ASNS
ATM	ATM-R-C_GBL9024991.txt	ATM-R-C	ATM
BAD	Bad_pS112-R-V_GBL9024822.txt	Bad_pS112-R-V	Bad_pS112
BAK1	Bak-R-C_GBL9024823.txt	Bak-R-C	Bak
BAX	Bax-R-V_GBL9024824.txt	Bax-R-V	Bax
BCL2	Bcl-2-R-C_GBL9024992.txt	Bcl-2-R-C	Bcl-2
BCL2L1	Bcl-X-R-C_GBL9024825.txt	Bcl-X-R-C	Bcl-X
